document_id,document_doi,repository_id,repository_url,developer_account_id,developer_account_url,developer_contribution_url,n_commits,n_additions,n_deletions,total_repo_commits,total_repo_additions,total_repo_deletions
107848,https://doi.org/10.1088/1748-0221/18/11/P11028,104357,https://github.com/dnicotra/trackhhl,131471,https://github.com/dmark04,https://github.com/dnicotra/trackhhl/commits?author=dmark04,0.0,0.0,0.0,11.0,924.0,712.0
44180,https://doi.org/10.1371/journal.pone.0263125,42221,https://github.com/lukemelas/efficientnet-pytorch,71221,https://github.com/robotrapta,https://github.com/lukemelas/efficientnet-pytorch/commits?author=robotrapta,1.0,1.0,1.0,120.0,8902.0,3609.0
33751,https://doi.org/10.29012/jpc.870,32267,https://github.com/microsoft/prv_accountant,36697,https://github.com/s-zanella,https://github.com/microsoft/prv_accountant/commits?author=s-zanella,1.0,1.0,1.0,35.0,3604.0,883.0
56650,https://doi.org/10.1007/s41095-021-0229-5,54205,https://github.com/menghaoguo/pct,2123,https://github.com/Menghao999,https://github.com/menghaoguo/pct/commits?author=Menghao999,1.0,11.0,1.0,30.0,1201.0,65.0
21394,https://doi.org/10.1109/TPAMI.2017.2769085,20529,https://github.com/hbilen/dynamic-image-nets,42202,https://github.com/Blssel,https://github.com/hbilen/dynamic-image-nets/commits?author=Blssel,1.0,2.0,2.0,1403.0,163258.0,86480.0
32480,https://doi.org/10.2140/camcos.2022.17.1,31043,https://github.com/stevenireeves/amrex,19824,https://github.com/memmett,https://github.com/stevenireeves/amrex/commits?author=memmett,,,,,,
81955,https://doi.org/10.1145/3477495.3531715,78745,https://github.com/wangfei-2019/image-text-retrieval,109896,https://github.com/raojay7,https://github.com/wangfei-2019/image-text-retrieval/commits?author=raojay7,0.0,0.0,0.0,33.0,24018.0,18332.0
17340,https://doi.org/10.1109/TNNLS.2022.3223018,16680,https://github.com/chaitjo/efficient-gnns,36532,https://github.com/nairbv,https://github.com/chaitjo/efficient-gnns/commits?author=nairbv,1.0,1.0,1.0,25.0,8495.0,128.0
32480,https://doi.org/10.2140/camcos.2022.17.1,31043,https://github.com/stevenireeves/amrex,13054,https://github.com/asalmgren,https://github.com/stevenireeves/amrex/commits?author=asalmgren,,,,,,
24393,https://doi.org/10.1088/1361-6544/ac0d46,23386,https://github.com/kaleonxie/complex-motion-of-spikes,46078,https://github.com/KaleonXie,https://github.com/kaleonxie/complex-motion-of-spikes/commits?author=KaleonXie,9.0,999415.0,80.0,9.0,999415.0,80.0
79342,https://doi.org/10.1109/CVPR52733.2024.00915,76234,https://github.com/dvlab-research/lisa,98800,https://github.com/Robert-zwr,https://github.com/dvlab-research/lisa/commits?author=Robert-zwr,1.0,1.0,1.0,126.0,37617.0,22530.0
